rowIndex,Name,urlColumn,url,mapId,slug,section,file_all,file_section,status,error
31,180th Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca383dcf7787b00017c0dca?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383dcf7787b00017c0dca,180th-street-bid,,all/5ca383dcf7787b00017c0dca__180th-street-bid.png,,ok,
32,34th Street BID,Share Url (dark),https://share.livexyz.com/maplist/5ca383acf7787b00017c0db3?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383acf7787b00017c0db3,34th-street-bid,,all/5ca383acf7787b00017c0db3__34th-street-bid.png,,ok,
33,86th Street Bay Ridge BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38331cb5baf0001a11a80?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38331cb5baf0001a11a80,86th-street-bay-ridge-bid,,all/5ca38331cb5baf0001a11a80__86th-street-bay-ridge-bid.png,,ok,
34,Bay Ridge 5th Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5b805aeab3af030004f2c221?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b805aeab3af030004f2c221,bay-ridge-5th-avenue-bid,,all/5b805aeab3af030004f2c221__bay-ridge-5th-avenue-bid.png,,ok,
35,Bryant Park BID,Share Url (dark),https://share.livexyz.com/maplist/5ca3838acb5baf0001a11ab5?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca3838acb5baf0001a11ab5,bryant-park-bid,,all/5ca3838acb5baf0001a11ab5__bryant-park-bid.png,,ok,
36,Church-Flatbush Community Alliance,Share Url (dark),https://share.livexyz.com/maplist/64d993cd1ed4e1000180ef66?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,64d993cd1ed4e1000180ef66,church-flatbush-community-alliance,,all/64d993cd1ed4e1000180ef66__church-flatbush-community-alliance.png,,ok,
37,Court-Livingston Schermerhorn BID,Share Url (dark),https://share.livexyz.com/maplist/5b201e3d03b7900003eec65e?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b201e3d03b7900003eec65e,court-livingston-schermerhorn-bid,,all/5b201e3d03b7900003eec65e__court-livingston-schermerhorn-bid.png,,ok,
38,Downtown Alliance,Share Url (dark),https://share.livexyz.com/maplist/5b8ff65df7411e0004b836c3?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b8ff65df7411e0004b836c3,downtown-alliance,,all/5b8ff65df7411e0004b836c3__downtown-alliance.png,,ok,
39,Flatbush Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca383c2f7787b00017c0dbc?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca383c2f7787b00017c0dbc,flatbush-avenue-bid,,all/5ca383c2f7787b00017c0dbc__flatbush-avenue-bid.png,,ok,
40,Forest Avenue BID,Share Url (dark),https://share.livexyz.com/maplist/5ca38468f7787b00017c0e03?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38468f7787b00017c0e03,forest-avenue-bid,,all/5ca38468f7787b00017c0e03__forest-avenue-bid.png,,ok,
41,Hudson Square,Share Url (dark),https://share.livexyz.com/maplist/5ca38461f7787b00017c0e00?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca38461f7787b00017c0e00,hudson-square,,all/5ca38461f7787b00017c0e00__hudson-square.png,,ok,
42,Lower East Side BID,Share Url (dark),https://share.livexyz.com/maplist/5ca384c8cb5baf0001a11b36?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5ca384c8cb5baf0001a11b36,lower-east-side-bid,,all/5ca384c8cb5baf0001a11b36__lower-east-side-bid.png,,ok,
43,MetroTech BID,Share Url (dark),https://share.livexyz.com/maplist/5b20241803b7900003eed0b8?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,5b20241803b7900003eed0b8,metrotech-bid,,all/5b20241803b7900003eed0b8__metrotech-bid.png,,ok,
44,Morris Park BID,Share Url (dark),https://share.livexyz.com/maplist/6088c133a1a2190001e08281?theme=dark&tags=&pinSize=&pinColor=&zoom=&bearing=&lat=&lng=&showSubwayLines=,6088c133a1a2190001e08281,morris-park-bid,,all/6088c133a1a2190001e08281__morris-park-bid.png,,ok,
